,city,IATA
1005,Duesseldorf,DUS
1006,Aberdeen,ABZ
1007,Abilene,DYS
1008,Dzaoudzi,DZA
1009,Kingstown,SVD
1010,El Real,ELE
1011,Vail,EGE
1012,Shemya,SYA
1013,New York,TSS
1014,East London,ELS
1015,Longview,GGG
1016,College Station,CLL
1017,Eastmain River,ZEM
1018,Ech-cheliff,QAS
1019,Eday,EOI
1020,Edinburgh,EDI
1021,Edmonton,YXD
1022,Edmonton,YEG
1023,Edson,YET
1024,San Vincente De Caguan,SVI
1025,Manaus,MAO
1026,Little Cayman,LYB
1027,Montpelier,MPV
1028,Galena,GAL
1029,Edwards Afb,EDW
1030,Groningen,GRQ
1031,Hargeisa,HGA
1032,Egelsbach,QEF
1033,Egilsstadir,EGS
1034,Valparaiso,VPS
1035,Fairbanks,EIL
1036,Elat,ETH
1037,Eindhoven,EIN
1038,Ekati,YOA
1039,Yopal,EYP
1040,La Paz,LPB
1041,\N,AAC
1042,\N,NDR
1043,El Bolson,EHL
1044,El Borma,EBM
1045,El Calafate,FTE
1046,El calafate,ECA
1047,Quibdo,UIB
1048,El Centro,NJK
1049,Armenia,AXM
1050,Providencia,PVA
1051,El Fasher,ELF
1052,El Golea,ELG
1053,Maldonado,MDO
1054,Calama,CJC
1055,El Nido,ENI
1056,El Obeid,EBD
1057,El Paso,ELP
1058,Mendoza,MDZ
1059,San Salvador,SAL
1060,Kupang,KOE
1061,Puerto Madryn,PMY
1062,Puerto Montt,PMC
1063,El-tor,ELT
1064,Santa Ana,NZJ
1065,Elazig,EZS
1066,\N,ELC
1067,Bogota,BOG
1068,Eldoret,EDL
1069,Athens,ATH
1070,Elista,ESL
1071,Elizabeth City,ECG
1072,Elkins,EKN
1073,Elko,EKO
1074,Houston,EFD
1075,Rapid City,RCA
1076,Cagliari,CAG
1077,Anchorage,EDF
1078,Elmira,ELM
1079,Manta,MEC
1080,Santa Barbara,SBO
1081,Emden,EME
1082,Krasnoyarsk,KJA
1083,Emerald,EMD
1084,Eniwetok Island,1Z8
1085,Eniwetok Atoll,ENT
1086,Enontekio,ENF
1087,Colón,ONX
1088,David,DAV
1089,Ensenada,ESE
1090,Enshi,ENH
1091,Entebbe,EBB
1092,Laval,LVA
1093,Strassbourg,SXB
1094,Enugu,ENU
1095,Bikini Atoll,BII
1096,Omaha,OMA
1097,Erbil,EBL
1098,Nicosia,ECN
1099,Erfurt,ERF
1100,Malatya,MLX
1101,Erie,ERI
1102,Kayseri,ASR
1103,Prescott,PRC
1104,Barranquilla,BAQ
1105,Windhoek,ERS
1106,Erzincan,ERC
1107,Erzurum,ERZ
1108,Oran,ORN
1109,Esbjerg,EBJ
1110,Maracay,MYC
1111,Ankara,ESB
1112,Isfahan,IFN
1113,Eskisehir,ESK
1114,Alexandria,ESF
1115,\N,EPR
1116,Esquel,EQS
1117,Essen,ESS
1118,Nancy,ENC
1119,Estevan,YEN
1120,Ankara,ANK
1121,Mayaguez,MAZ
1122,Eureka,YEU
1123,Basel-Mulhouse-Freiburg,BSL
1124,Evansville,EVV
1125,Evenes,EVE
1126,Orlando,ORL
1127,Exeter,EXT
1128,Great Exuma,GGT
1129,Oranjestad,EUX
1130,Papeete,PPT
1131,Mitu,MVP
1132,Apia,FGI
1133,Fair Isle,FIE
1134,Fairbanks,FAI
1135,Spokane,SKA
1136,Fairford,FFD
1137,Coral Harbour,YZS
1138,Faisalabad,LYP
1139,Faizabad,FBD
1140,Fak Fak,FKQ
1141,Fakarava,FAV
1142,Ancona,AOI
1143,Faleolo,APW
